service_id,date,exception_type
B20140608WKD_N,20141017,2
B20140608WKD_N,20141020,2
B20140608WKD_N,20141021,2
B20140608WKD_N,20141022,2
B20140608WKD_N,20141023,2
B20140608WKD_N,20141024,2
B20140608WKD_N,20141027,2
B20140608WKD_N,20141028,2
B20140608WKD_N,20141029,2
B20140608WKD_N,20141030,2
B20140608WKD_N,20141031,2
B20140608WKD_N,20141103,2
B20140608WKD_N,20141104,2
B20140608WKD_N,20141105,2
B20140608WKD_N,20141106,2
B20140608WKD_N,20141107,2
B20140608WKD_N,20141110,2
B20140608WKD_N,20141111,2
B20140608WKD_N,20141112,2
B20140608WKD_N,20141113,2
B20140608WKD_N,20141114,2
B20140608WKD_N,20141117,2
B20140608WKD_N,20141118,2
B20140608WKD_N,20141119,2
B20140608WKD_N,20141120,2
B20140608WKD_N,20141121,2
B20140608WKD_N,20141124,2
B20140608WKD_N,20141125,2
B20140608WKD_N,20141126,2
B20140608WKD_N,20141127,2
B20140608WKD_N,20141128,2
B20140608WKD_N,20141201,2
B20140608WKD_N,20141202,2
B20140608WKD_N,20141203,2
B20140608WKD_N,20141204,2
B20140608WKD_N,20141205,2
B20140608WKD_N,20141208,2
B20140608WKD_N,20141209,2
B20140608WKD_N,20141210,2
B20140608WKD_N,20141211,2
B20140608WKD_N,20141212,2
B20140608WKD_N,20141215,2
B20140608WKD_N,20141216,2
B20140608WKD_N,20141217,2
B20140608WKD_N,20141218,2
B20140608WKD_N,20141219,2
B20140608WKD_N,20141222,2
B20140608WKD_N,20141223,2
B20140608WKD_N,20141224,2
B20140608WKD_N,20141225,2
B20140608WKD_N,20141226,2
B20140608WKD_N,20141229,2
B20140608WKD_N,20141230,2
B20140608WKD_N,20141231,2
B20140608WKD_N,20150101,2
B20140608WKD_N,20150102,2
B20140608WKD_N,20150105,2
B20140608WKD_N,20150106,2
B20140608WKD_N,20150107,2
B20140608WKD_N,20150108,2
B20140608WKD_N,20150109,2
B20140608WKD_N,20150112,2
B20140608WKD_N,20150113,2
B20140608WKD_N,20150114,2
B20140608WKD_N,20150115,2
B20140608WKD_N,20150116,2
B20140608WKD_N,20150119,2
B20140608WKD_N,20150120,2
B20140608WKD_N,20150121,2
B20140608WKD_N,20150122,2
B20140608WKD_N,20150123,2
B20140608WKD_N,20150126,2
B20140608WKD_N,20150127,2
B20140608WKD_N,20150128,2
B20140608WKD_N,20150129,2
B20140608WKD_N,20150130,2
B20140608WKD_N,20150202,2
B20140608WKD_N,20150203,2
B20140608WKD_N,20150204,2
B20140608WKD_N,20150205,2
B20140608WKD_N,20150206,2
B20140608WKD_N,20150209,2
B20140608WKD_N,20150210,2
B20140608WKD_N,20150211,2
B20140608WKD_N,20150212,2
B20140608WKD_N,20150213,2
B20140608WKD_N,20150216,2
B20140608WKD_N,20150217,2
B20140608WKD_N,20150218,2
B20140608WKD_N,20150219,2
B20140608WKD_N,20150220,2
B20140608WKD_N,20150223,2
B20140608WKD_N,20150224,2
B20140608WKD_N,20150225,2
B20140608WKD_N,20150226,2
B20140608WKD_N,20150227,2
B20140608WKD_N,20150302,2
B20140608WKD_N,20150303,2
B20140608WKD_N,20150304,2
B20140608WKD_N,20150305,2
B20140608WKD_N,20150306,2
B20140608WKD_N,20150309,2
B20140608WKD_N,20150310,2
B20140608WKD_N,20150311,2
B20140608WKD_N,20150312,2
B20140608WKD_N,20150313,2
B20140608WKD_N,20150316,2
B20140608WKD_N,20150317,2
B20140608WKD_N,20150318,2
B20140608WKD_N,20150319,2
B20140608WKD_N,20150320,2
B20140608WKD_N,20150323,2
B20140608WKD_N,20150324,2
B20140608WKD_N,20150325,2
B20140608WKD_N,20150326,2
B20140608WKD_N,20150327,2
B20140608WKD_N,20150330,2
B20140608WKD_N,20150331,2
B20140608WKD_N,20150401,2
B20140608WKD_N,20150402,2
B20140608WKD_N,20150403,2
B20140608WKD_N,20150406,2
B20140608WKD_N,20150407,2
B20140608WKD_N,20150408,2
B20140608WKD_N,20150409,2
B20140608WKD_N,20150410,2
B20140608WKD_N,20150413,2
B20140608WKD_N,20150414,2
B20140608WKD_N,20150415,2
B20140608WKD_N,20150416,2
B20140608WKD_N,20150417,2
B20140608WKD_N,20150420,2
B20140608WKD_N,20150421,2
B20140608WKD_N,20150422,2
B20140608WKD_N,20150423,2
B20140608WKD_N,20150424,2
B20140608WKD_N,20150427,2
B20140608WKD_N,20150428,2
B20140608WKD_N,20150429,2
B20140608WKD_N,20150430,2
B20140608WKD_N,20150501,2
B20140608WKD_N,20150504,2
B20140608WKD_N,20150505,2
B20140608WKD_N,20150506,2
B20140608WKD_N,20150507,2
B20140608WKD_N,20150508,2
B20140608WKD_N,20150511,2
B20140608WKD_N,20150512,2
