     ,FARECARD USAGE BY STATION FOR DATE RANGE: ,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                          
     ,11/15/2014-11/21/2014,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                               
REMOTE, STATION,FF,SEN/DIS, 7-D AFAS UNL,30-D AFAS/RMF UNL,JOINT RR TKT,7-D UNL,30-D UNL,14-D RFM UNL,1-D UNL,14-D UNL,7D-XBUS PASS,TCMC,RF 2 TRIP,RR UNL NO TRADE,TCMC ANNUAL MC,MR EZPAY EXP,MR EZPAY UNL,PATH 2-T,AIRTRAIN FF,AIRTRAIN 30-D,AIRTRAIN 10-T,AIRTRAIN MTHLY,STUDENTS,                                                                                             
R022,34TH STREET & 6TH AVENUE      ,00192278,00009615,00000729,00002166,00001025,00082692,00134456,00000000,00000000,00000000,00001733,00002740,00001976,00001132,00009726,00002819,00001671,00000000,00002515,00000000,00000000,00000000,00003455,                                                                                                                               
R023,34TH STREET & 6TH AVENUE      ,00157366,00006715,00000496,00001506,00000805,00043184,00091352,00000000,00000000,00000000,00000286,00002804,00001269,00001007,00005924,00003349,00001259,00000000,00001517,00000000,00000000,00000000,00002150,                                                                                                                               
R024,SUTPHIN BOULEVARD             ,00049177,00002393,00000364,00000762,00000448,00033197,00023830,00000000,00000000,00000000,00000044,00000308,00001125,00000589,00001673,00000542,00000202,00000000,00006718,00000000,00000000,00000000,00002757,                                                                                                                               
R025,JAMAICA CENTER-PARSONS BLVD   ,00066220,00002267,00000709,00001492,00000024,00065993,00044402,00000000,00000000,00000000,00000084,00000480,00001406,00000026,00003941,00000296,00000326,00000000,00000442,00000000,00000000,00000000,00007959,                                                                                                                               
R027,WALL STREET                   ,00066811,00002657,00000142,00000444,00001582,00013264,00041786,00000000,00000000,00000000,00000173,00001368,00000237,00003102,00004118,00001898,00000669,00000000,00000605,00000000,00000000,00000000,00001756,                                                                                                                               
R028,FULTON & WILLIAM STREETS      ,00070408,00003748,00000287,00001036,00000592,00022913,00058118,00000000,00000000,00000000,00000184,00001139,00000643,00000981,00004816,00001324,00001023,00000000,00000896,00000000,00000000,00000000,00003282,                                                                                                                               
R029,PARK PLACE                    ,00153471,00006022,00000445,00001284,00001199,00042492,00084765,00000000,00000000,00000000,00001429,00002534,00001205,00002108,00005211,00003032,00001500,00000000,00001991,00000000,00000000,00000000,00006998,                                                                                                                               
R030,CHAMBERS STREET               ,00059630,00002998,00000205,00000668,00000734,00023544,00042493,00000000,00000000,00000000,00000219,00001028,00000486,00001405,00002562,00001316,00000547,00000000,00000562,00000000,00000000,00000000,00010818,                                                                                                                               
R031,34TH STREET & 7TH AVENUE      ,00116473,00006052,00000393,00001018,00002155,00033376,00046163,00000000,00000000,00000000,00000382,00001396,00001006,00003456,00004291,00003039,00000723,00000000,00000972,00000000,00000000,00000000,00002226,                                                                                                                               
R032,42ND STREET/TIMES SQUARE      ,00098471,00004511,00000346,00000971,00000241,00032298,00075272,00000000,00000000,00000000,00000385,00002225,00000473,00000191,00005813,00002094,00001104,00000000,00000947,00000000,00000000,00000000,00001100,                                                                                                                               
R033,42ND STREET/TIMES SQUARE      ,00179052,00008004,00000577,00001519,00000890,00079885,00090636,00000000,00000000,00000000,00000668,00001982,00002116,00000701,00007894,00002645,00001209,00000000,00002803,00000000,00000000,00000000,00005354,                                                                                                                               
R034,125TH STREET & BROADWAY       ,00018114,00001558,00000112,00000375,00000042,00010890,00015946,00000000,00000000,00000000,00000031,00000115,00000527,00000074,00001014,00000256,00000169,00000000,00000267,00000000,00000000,00000000,00002477,                                                                                                                               
R035,168TH STREET & BROADWAY       ,00057248,00004166,00000374,00000813,00000160,00032039,00047885,00000000,00000000,00000000,00000115,00000333,00001551,00000220,00002253,00001120,00000862,00000000,00000650,00000000,00000000,00000000,00008265,                                                                                                                               
R036,DYCKMAN STREET                ,00014201,00001351,00000163,00000321,00000004,00012975,00009565,00000000,00000000,00000000,00000009,00000053,00000915,00000003,00000759,00000063,00000074,00000000,00000123,00000000,00000000,00000000,00003992,                                                                                                                               
R037,207TH STREET                  ,00009496,00000766,00000139,00000187,00000005,00013362,00007914,00000000,00000000,00000000,00000006,00000033,00000478,00000009,00000558,00000023,00000029,00000000,00000073,00000000,00000000,00000000,00002813,                                                                                                                               
R038,215TH STREET                  ,00004750,00000436,00000037,00000114,00000006,00002701,00003512,00000000,00000000,00000000,00000015,00000026,00000131,00000000,00000229,00000077,00000061,00000000,00000056,00000000,00000000,00000000,00000637,                                                                                                                               
R039,225TH STREET                  ,00012062,00000900,00000101,00000147,00000081,00009920,00007679,00000000,00000000,00000000,00000008,00000050,00000399,00000049,00000663,00000101,00000079,00000000,00000078,00000000,00000000,00000000,00002815,                                                                                                                               
R040,231ST STREET                  ,00016699,00001599,00000204,00000608,00000003,00013529,00013612,00000000,00000000,00000000,00000091,00000104,00000637,00000015,00001080,00000204,00000084,00000000,00000135,00000000,00000000,00000000,00002810,                                                                                                                               
R041,BOWLING GREEN & BATTERY PL    ,00055449,00003108,00000274,00000690,00000767,00020268,00039392,00000000,00000000,00000000,00002162,00001122,00000615,00001403,00003948,00001255,00000558,00000000,00000451,00000000,00000000,00000000,00005354,                                                                                                                               
R042,BOWLING GREEN & BROADWAY      ,00009216,00000293,00000040,00000073,00000114,00005777,00004537,00000000,00000000,00000000,00000090,00000128,00000054,00000214,00000422,00000175,00000058,00000000,00000145,00000000,00000000,00000000,00000420,                                                                                                                               
R043,WALL STREET                   ,00061013,00003196,00000143,00000482,00000753,00017961,00044989,00000000,00000000,00000000,00001118,00001388,00000365,00001841,00003209,00001464,00000664,00000000,00000729,00000000,00000000,00000000,00002819,                                                                                                                               
R044,BROOKLYN BRIDGE               ,00087666,00005361,00000306,00001287,00000501,00032706,00063091,00000000,00000000,00000000,00000514,00001632,00000858,00001088,00003094,00001661,00001055,00000000,00000893,00000000,00000000,00000000,00007037,                                                                                                                               
R045,42ND STREET & GRAND CENTRAL   ,00093995,00004365,00000126,00000394,00002994,00011969,00030365,00000000,00000000,00000000,00000202,00001335,00000313,00003378,00002340,00002666,00000475,00000000,00000675,00000000,00000000,00000000,00000613,                                                                                                                               
R046,42ND STREET & GRAND CENTRAL   ,00235960,00010567,00000492,00001441,00004228,00053594,00111908,00000000,00000000,00000000,00000856,00003492,00002070,00005519,00008445,00005274,00001724,00000000,00002763,00000000,00000000,00000000,00002103,                                                                                                                               
R047,42ND STREET & GRAND CENTRAL   ,00115736,00005770,00000288,00000842,00001705,00029847,00078040,00000000,00000000,00000000,00000560,00002588,00000515,00002990,00007397,00003080,00001158,00000000,00000979,00000000,00000000,00000000,00001293,                                                                                                                               
R048,42ND STREET & 3RD AVENUE      ,00033776,00001368,00000037,00000191,00000483,00005873,00019608,00000000,00000000,00000000,00000056,00000685,00000081,00000668,00001866,00001020,00000259,00000000,00000230,00000000,00000000,00000000,00000245,                                                                                                                               
R049,51ST STREET & LEXINGTON AVE   ,00061668,00003819,00000220,00000543,00000167,00020767,00040379,00000000,00000000,00000000,00000298,00001347,00000451,00000206,00004233,00001412,00000589,00000000,00000843,00000000,00000000,00000000,00000659,                                                                                                                               
R050,59TH STREET & LEXINGTON AVE   ,00070857,00004857,00000292,00000806,00000391,00026184,00053884,00000000,00000000,00000000,00000352,00001270,00000721,00000740,00004328,00001724,00000718,00000000,00000725,00000000,00000000,00000000,00001561,                                                                                                                               
R051,59TH STREET & LEXINGTON AVE   ,00093381,00006301,00000460,00001166,00000236,00045640,00074964,00000000,00000000,00000000,00000401,00001376,00000562,00000464,00005929,00002123,00001090,00000000,00000965,00000000,00000000,00000000,00005974,                                                                                                                               
R052,WOODLAWN ROAD                 ,00010539,00000693,00000184,00000384,00000010,00011791,00007365,00000000,00000000,00000000,00000021,00000094,00000474,00000012,00000543,00000111,00000042,00000000,00000032,00000000,00000000,00000000,00001134,                                                                                                                               
R053,149TH STREET & 3RD AVENUE     ,00038112,00001958,00000533,00001017,00000025,00053291,00024863,00000000,00000000,00000000,00000047,00000193,00001499,00000015,00002723,00000132,00000137,00000000,00000158,00000000,00000000,00000000,00010191,                                                                                                                               
R054,FIFTH AVENUE & 42ND STREET    ,00031170,00001526,00000094,00000359,00000261,00009822,00022220,00000000,00000000,00000000,00000164,00000646,00000223,00000162,00001351,00000707,00000272,00000000,00000362,00000000,00000000,00000000,00000476,                                                                                                                               
R055,MAIN STREET                   ,00088719,00007729,00000803,00004665,00000022,00052248,00111055,00000000,00000000,00000000,00000192,00000912,00001751,00000057,00003702,00000683,00000358,00000000,00000688,00000000,00000000,00000000,00011085,                                                                                                                               
R056,NEVINS STREET                 ,00024258,00001731,00000286,00000599,00000031,00016439,00016519,00000000,00000000,00000000,00000139,00000162,00000375,00000076,00001358,00000254,00000187,00000000,00000193,00000000,00000000,00000000,00004219,                                                                                                                               
R057,BARCLAYS CENTER               ,00111791,00005774,00000672,00001654,00002318,00049173,00074331,00000000,00000000,00000000,00000266,00001126,00001245,00003798,00005234,00002094,00001045,00000000,00001295,00000000,00000000,00000000,00017963,                                                                                                                               
R058,BERGEN STREET                 ,00007382,00000530,00000054,00000140,00000004,00003330,00008844,00000000,00000000,00000000,00000006,00000122,00000072,00000005,00000761,00000181,00000150,00000000,00000104,00000000,00000000,00000000,00000899,                                                                                                                               
