stop_id,original_name,changed_name
L08,BEDFORD AVENUE,BEDFORD AVENUE
L10,LORIMER ST,LORIMER ST
L11,GRAHAM AVENUE,GRAHAM AVENUE
L12,GRAND ST,GRAND ST
L13,MONTROSE AVENUE,MONTROSE AVENUE
L14,MORGAN AVENUE,MORGAN AVENUE
L15,JEFFERSON ST,JEFFERSON ST
L16,DEKALB AVE - CANARSIE LI,DEKALB AVE - CANARSIE LI
L17,MYRTLE AVENUE - WYCKOFF AV,MYRTLE AVENUE - WYCKOFF AV
L19,HALSEY ST - CANARSIE,HALSEY ST - CANARSIE
L20,WILSON AVENUE,WILSON AVENUE
L21,BUSHWICK AVENUE - ABERDEEN ST,BUSHWICK AVENUE - ABERDEEN ST
L22,BROADWAY JUNCTION,BROADWAY JUNCTION
L24,ATLANTIC AVENUE,ATLANTIC AVENUE
L25,SUTTER AVENUE,SUTTER AVENUE
L26,LIVONIA AVENUE,LIVONIA AVENUE
L27,NEW LOTS AVENUE,NEW LOTS AVENUE
L28,EAST 105TH ST,EAST 105TH ST
L29,ROCKAWAY PARKWAY - CANARSIE,ROCKAWAY PARKWAY - CANARSIE
138,CORTLANDT ST,CORTLANDT ST
